Entry, Tail, Size, Date,Resolution
EMD-10246,emd_10246_half_map_1.map.gz,1451451,2020-09-01,5.0
EMD-10246,emd_10246_half_map_2.map.gz,1451867,2020-09-01,5.0
EMD-10286,emd_10286_half_map_1.map.gz,2032666,2020-11-18,13.7
EMD-10286,emd_10286_half_map_2.map.gz,2032380,2020-11-18,13.7
EMD-10526,emd_10526_half_map_1.map.gz,3693829,2021-01-18,20.0
EMD-10526,emd_10526_half_map_2.map.gz,3689695,2021-01-18,20.0
EMD-10527,emd_10527_half_map_1.map.gz,1891162,2021-01-18,34.0
EMD-10527,emd_10527_half_map_2.map.gz,1889864,2021-01-18,34.0
EMD-10630,emd_10630_half_map_1.map.gz,1668420,2020-03-05,26.1
EMD-10630,emd_10630_half_map_2.map.gz,1663825,2020-03-05,26.1
EMD-10640,emd_10640_half_map_1.map.gz,3770432,2020-05-07,27.7
EMD-10640,emd_10640_half_map_2.map.gz,3764326,2020-05-07,27.7
EMD-10641,emd_10641_half_map_1.map.gz,3771055,2020-05-07,25.7
EMD-10641,emd_10641_half_map_2.map.gz,3765412,2020-05-07,25.7
EMD-10646,emd_10646_half_map_1.map.gz,3774844,2020-05-07,30.0
EMD-10646,emd_10646_half_map_2.map.gz,3769776,2020-05-07,30.0
EMD-10749,emd_10749_half_map_1.map.gz,1555830,2020-08-08,10.2
EMD-10749,emd_10749_half_map_2.map.gz,1555900,2020-08-08,10.2
EMD-10944,emd_10944_half_map_1.map.gz,2912251,2020-07-16,7.6
EMD-10944,emd_10944_half_map_2.map.gz,2912708,2020-07-16,7.6
EMD-10964,emd_10964_half_map_1.map.gz,2010333,2020-07-08,8.2
EMD-10964,emd_10964_half_map_2.map.gz,2013729,2020-07-08,8.2
EMD-11053,emd_11053_half_map_1.map.gz,2895097,2020-09-24,8.6
EMD-11053,emd_11053_half_map_2.map.gz,2892710,2020-09-24,8.6
EMD-11067,emd_11067_half_map_1.map.gz,1579058,2021-01-04,3.19
EMD-11067,emd_11067_half_map_2.map.gz,1575167,2021-01-04,3.19
EMD-11070,emd_11070_half_map_1.map.gz,1765147,2020-12-21,9.0
EMD-11070,emd_11070_half_map_2.map.gz,1764820,2020-12-21,9.0
EMD-11129,emd_11129_half_map_1.map.gz,283621,2020-08-24,15.6
EMD-11129,emd_11129_half_map_2.map.gz,256950,2020-08-24,15.6
EMD-11131,emd_11131_half_map_1.map.gz,277333,2020-07-04,17.3
EMD-11131,emd_11131_half_map_2.map.gz,275485,2020-07-04,17.3
EMD-11133,emd_11133_half_map_1.map.gz,307420,2020-08-24,16.6
EMD-11133,emd_11133_half_map_2.map.gz,319764,2020-08-24,16.6
EMD-11135,emd_11135_half_map_1.map.gz,281727,2020-08-24,15.9
EMD-11135,emd_11135_half_map_2.map.gz,265917,2020-08-24,15.9
EMD-11236,emd_11236_half_map_1.map.gz,3950279,2020-10-08,11.4
EMD-11236,emd_11236_half_map_2.map.gz,3950613,2020-10-08,11.4
EMD-11403,emd_11403_half_map_1.map.gz,3710444,2021-01-11,22.0
EMD-11403,emd_11403_half_map_2.map.gz,3710705,2021-01-11,22.0
EMD-11816,emd_11816_half_map_1.map.gz,1070635,2021-01-04,8.0
EMD-11816,emd_11816_half_map_2.map.gz,1065922,2021-01-04,8.0
EMD-11931,emd_11931_half_map_1.map.gz,3681784,2021-02-01,40.2
EMD-11931,emd_11931_half_map_2.map.gz,3686454,2021-02-01,40.2
