Entry, Tail, Size, Date,Resolution,Height,Width,Depth
EMD-0552,emd_0552_half_map_1.map.gz,7669263,2019-05-16,3.0,128.0,128.0,128.0
EMD-0552,emd_0552_half_map_2.map.gz,7669704,2019-05-16,3.0,128.0,128.0,128.0
EMD-10161,emd_10161_half_map_1.map.gz,6291998,2020-11-18,3.4,128.0,128.0,128.0
EMD-10161,emd_10161_half_map_2.map.gz,6292251,2020-11-18,3.4,128.0,128.0,128.0
EMD-11828,emd_11828_half_map_1.map.gz,52245936,2021-02-04,3.0,128.0,128.0,128.0
EMD-11828,emd_11828_half_map_2.map.gz,52136220,2021-02-04,3.0,128.0,128.0,128.0
EMD-20753,emd_20753_half_map_1.map.gz,3872646,2020-01-27,3.3,116.0,116.0,116.0
EMD-20753,emd_20753_half_map_2.map.gz,3872865,2020-01-27,3.3,116.0,116.0,116.0
EMD-3650,emd_3650_half_map_1.map.gz,2906891,2017-07-02,3.4,100.0,100.0,100.0
EMD-3650,emd_3650_half_map_2.map.gz,2908903,2017-07-02,3.4,100.0,100.0,100.0
EMD-3651,emd_3651_half_map_1.map.gz,2908726,2017-07-11,3.6,100.0,100.0,100.0
EMD-3651,emd_3651_half_map_2.map.gz,2907402,2017-07-11,3.6,100.0,100.0,100.0
EMD-4432,emd_4432_half_map_1.map.gz,4147846,2019-04-16,4.0,104.0,104.0,104.0
EMD-4432,emd_4432_half_map_2.map.gz,4144849,2019-04-16,4.0,104.0,104.0,104.0
EMD-6714,emd_6714_half_map_1.map.gz,4802397,2020-11-30,3.0,128.0,128.0,128.0
EMD-6714,emd_6714_half_map_2.map.gz,4684362,2020-11-30,3.0,128.0,128.0,128.0
