Entry, Tail, Size, Date,Resolution,Height,Width,Depth
EMD-0004,emd_0004_half_map_1.map.gz,175197079,2019-01-08,3.23,370.0,370.0,370.0
EMD-0004,emd_0004_half_map_2.map.gz,175182700,2019-01-08,3.23,370.0,370.0,370.0
EMD-0005,emd_0005_half_map_1.map.gz,175510048,2019-01-06,3.34,370.0,370.0,370.0
EMD-0005,emd_0005_half_map_2.map.gz,175486476,2019-01-06,3.34,370.0,370.0,370.0
EMD-0006,emd_0006_half_map_1.map.gz,140538397,2019-01-06,3.5,370.0,370.0,370.0
EMD-0006,emd_0006_half_map_2.map.gz,140557469,2019-01-06,3.5,370.0,370.0,370.0
EMD-0011,emd_0011_half_map_1.map.gz,203734278,2018-09-18,3.3,400.0,400.0,400.0
EMD-0011,emd_0011_half_map_2.map.gz,203943751,2018-09-18,3.3,400.0,400.0,400.0
EMD-0012,emd_0012_half_map_1.map.gz,13479747,2018-11-10,4.06,224.0,224.0,224.0
EMD-0012,emd_0012_half_map_2.map.gz,13479606,2018-11-10,4.06,224.0,224.0,224.0
EMD-0013,emd_0013_half_map_1.map.gz,48209519,2021-01-20,4.9,310.0,310.0,250.0
EMD-0013,emd_0013_half_map_2.map.gz,48200579,2021-01-20,4.9,310.0,310.0,250.0
EMD-0023,emd_0023_half_map_1.map.gz,13436496,2018-11-10,4.06,224.0,224.0,224.0
EMD-0023,emd_0023_half_map_2.map.gz,13478286,2018-11-10,4.06,224.0,224.0,224.0
EMD-0024,emd_0024_half_map_1.map.gz,12852040,2018-11-10,3.87,224.0,224.0,224.0
EMD-0024,emd_0024_half_map_2.map.gz,12851867,2018-11-10,3.87,224.0,224.0,224.0
EMD-0025,emd_0025_half_map_1.map.gz,62347253,2019-11-16,3.2,256.0,256.0,256.0
EMD-0025,emd_0025_half_map_2.map.gz,62348226,2019-11-16,3.2,256.0,256.0,256.0
EMD-0026,emd_0026_half_map_1.map.gz,201353141,2019-08-08,6.3,400.0,400.0,400.0
EMD-0026,emd_0026_half_map_2.map.gz,201294538,2019-08-08,6.3,400.0,400.0,400.0
EMD-0030,emd_0030_half_map_1.map.gz,147558608,2018-09-01,3.34,360.0,360.0,360.0
EMD-0030,emd_0030_half_map_2.map.gz,147703499,2018-09-01,3.34,360.0,360.0,360.0
EMD-0031,emd_0031_half_map_1.map.gz,147775130,2018-08-16,3.1,360.0,360.0,360.0
EMD-0031,emd_0031_half_map_2.map.gz,147554012,2018-08-16,3.1,360.0,360.0,360.0
EMD-0032,emd_0032_half_map_1.map.gz,147625553,2018-09-01,3.49,360.0,360.0,360.0
EMD-0032,emd_0032_half_map_2.map.gz,147300452,2018-09-01,3.49,360.0,360.0,360.0
EMD-0033,emd_0033_half_map_1.map.gz,147759320,2018-09-01,3.2,360.0,360.0,360.0
EMD-0033,emd_0033_half_map_2.map.gz,147648917,2018-09-01,3.2,360.0,360.0,360.0
EMD-0034,emd_0034_half_map_1.map.gz,147363580,2018-09-01,3.28,360.0,360.0,360.0
